2471-2566,ACM TRANSACTIONS ON PRIVACY AND SECURITY B4
1049-331X,ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY A2
1559-1131,ACM TRANSACTIONS ON THE WEB A2
2576-6422,ACS APPLIED BIO MATERIALS B3
2574-0962,ACS APPLIED ENERGY MATERIALS B4
1944-8252,ACS APPLIED MATERIALS & INTERFACES (ONLINE) A1
4283-4293,ACS APPLIED NANO MATERIALS B4
2373-9878,ACS BIOMATERIALS SCIENCE & ENGINNERING A2
2155-5435,ACS CATALYSIS A1
2374-7951,ACS CENTRAL SCIENCE (ONLINE) A1
1554-8929,ACS CHEMICAL BIOLOGY A1
1554-8937,ACS CHEMICAL BIOLOGY A1
1948-7193,ACS CHEMICAL NEUROSCIENCE A1
2156-8952,ACS COMBINATORIAL SCIENCE A2
2472-3452,ACS EARTH AND SPACE CHEMISTRY B4
2373-8227,ACS INFECTIOUS DISEASES A1
2161-1653,ACS MACRO LETTERS A1
1948-5875,ACS MED CHEM LETT A2
1936-0851,ACS NANO A1
2470-1343,ACS OMEGA A3
2330-4022,ACS PHOTONICS A2
2379-3694,ACS SENSORS A1
2168-0485,ACS SUSTAINABLE CHEMISTRY & ENGINEERING A1
2161-5063,ACS SYNTHETIC BIOLOGY A1
0906-4710,"ACTA AGRICULTURAE SCANDINAVICA. SECTION B, SOIL AND PLANT SCIENCAE4"
0120-2812,ACTA AGRONOMICA B4
1809-4392,ACTA AMAZONICA B1
1677-7298,ACTA AMBIENTAL CATARINENSE B1
0001-5172,ACTA ANAESTHESIOLOGICA SCANDINAVICA A3
0353-5150,ACTA ANALYTICA A4
1234-950X,ACTA ANGIOLOGICA B4
2358-2375,ACTA APICOLA BRASILICA B3
0167-8019,ACTA APPLICANDAE MATHEMATICAE B1
0001-5202,ACTA ARACHNOLOGICA B4
0065-101X,ACTA ARCHAEOLOGICA (PAPIRFORM) B1
0094-5765,ACTA ASTRONAUTICA A1
0001-5237,ACTA ASTRONOMICA A1
1672-9145,ACTA BIOCHIMICA ET BIOPHYSICA SINICA A4
1726-569X,ACTA BIOETHICA (EN LÍNEA) B4
0120-548X,ACTA BIOLOGICA COLOMBIANA B1
1742-7061,ACTA BIOMATERIALIA A1
2236-0867,ACTA BIOMEDICA BRASILIENSIA B1
0325-2957,ACTA BIOQUÍMICA CLÍNICA LATINOAMERICANA B4
0001-5342,ACTA BIOTHEORETICA A2
1677-941X,ACTA BOTANICA BRASILICA B1
2526-4338,ACTA BRASILIENSIS B1
2526-432X,ACTA BRASILIENSIS B1
0001-5385,ACTA CARDIOLOGICA (IMPRIMÉ) B2
0583-6050,ACTA CARSOLOGICA B1
0187-6961,ESTUDIOS FRONTERIZOS,A2
0367-0449,ESTUDIOS GEOLOGICOS,B2
0123-5923,ESTUDIOS GERENCIALES,B1
1688-5317,ESTUDIOS HISTÓRICOS (RIVERA),A4
0792-7061,ESTUDIOS INTERDISCIPLINARIOS DE AMERICA LATINA Y EL CARIBE,A4
2448-4946,ESTUDIOS LATINOAMERICANOS,B4
1578-6676,ESTUDIOS NIETZSCHE,B4
0251-2483,ESTUDIOS PARAGUAYOS,A3
0718-0705,ESTUDIOS PEDAGÓGICOS (ONLINE),A4
2250-4001,ESTUDIOS RURALES,B1
1405-2210,ESTUDIOS SOBRE LAS CULTURAS CONTEMPORÁNEAS,A4
2451-5965,ESTUDIOS SOCIALES CONTEMPORÁNEOS,B2
0124-0579,ESTUDIOS SOCIO-JURÍDICOS,A4
0185-4186,ESTUDIOS SOCIOLÓGICOS,A2
0423-5037,ESTUDIOS TURÍSTICOS,B2
0327-5841,ESTUDIOS Y PERSPECTIVAS EN TURISMO,B1
0104-7132,ESTUDO & DEBATE (UNIVATES. IMPRESSO),B3
0102-4906,ESTUDOS ANGLO-AMERICANOS,B1
1806-9592,ESTUDOS AVANÇADOS (ONLINE),A1
2237-941X,ESTUDOS CONTEMPORANEOS DA SUBJETIVIDADE,B1
1808-1355,ESTUDOS DA LÍNGUA(GEM) (IMPRESSO),B1
1982-0534,ESTUDOS DA LÍNGUA(GEM) (ONLINE),B1
2525-9261,ESTUDOS DE ADMINISTRAÇÃO E SOCIEDADE,B4
1989-578X,ESTUDOS DE LINGUISTICA GALEGA,A3
2316-4018,ESTUDOS DE LITERATURA BRASILEIRA CONTEMPORÂNEA,A1
0100-3437,ESTUDOS DE PSICANÁLISE (IMPRESSO),A4
0103-166X,ESTUDOS DE PSICOLOGIA (PUCCAMP. IMPRESSO),A1
1413-294X,ESTUDOS DE PSICOLOGIA (UFRN),A1
0103-801X,ESTUDOS DE RELIGIAO (IMS),A2
1414-0144,ESTUDOS DE SOCIOLOGIA (SÃO PAULO),B1
1134-1629,ESTUDOS DEL MENSAJE PERIODISTICO,B3
1413-4128,ESTUDOS DO CEPE (UNISC),B2
1645-3530,ESTUDOS DO SÉCULO XX,B1
1982-9884,ESTUDOS DO TRABALHO,B4
2156-7808,ÉTUDES RICOEURIENNES / RICOEUR STUDIES A4
0014-2247,ÉTUDES TSIGANES B3
2212-9685,EUPA OPEN PROTEOMICS B2
0014-2336,EUPHYTICA (WAGENINGEN) A2
1128-6598,EUR J ONCOL B4
1884-9466,EURASIA BORDER REVIEW A4
1305-8215,"EURASIA JOURNAL OF MATHEMATICS, SCIENCE AND TECHNOLOGY EDUCAAT1I"
1309-4297,EURASIAN BUSINESS REVIEW (PRINT) A2
2306-6172,EURASIAN JOURNAL OF MATHEMATICAL AND COMPUTER APPLICATIONS (BP3
1687-6172,EURASIP JOURNAL ON ADVANCES IN SIGNAL PROCESSING (PRINT) A3
1687-5281,EURASIP JOURNAL ON IMAGE AND VIDEO PROCESSING A2
1687-1499,EURASIP JOURNAL ON WIRELESS COMMUNICATIONS AND NETWORKING A3
0250-7161,EURE (SANTIAGO. IMPRESA) A1
2218-0559,EUREKA B3
1415-479X,EUREKA! (RIO DE JANEIRO) B3
2192-4406,EURO JOURNAL ON COMPUTATIONAL OPTIMIZATION (PRINT) A3
1025-496X,EURO SURVEILLANCE A1
1478-0917,EUROCHOICES (UCKFIELD) B1
1774-024X,EUROINTERVENTION (TOULOUSE) A2
1099-5129,"EUROPACE (LONDON, ENGLAND) A1"
0176-2680,EUROPAISCHE ZEITSCHRIFT FUR POLITISCHE OKONOMIE / EUROPEAN JOUAR1
2286-4822,EUROPEAN ACADEMIC RESEARCH A2
1022-6877,EUROPEAN ADDICTION RESEARCH A1
1764-1489,EUROPEAN ANNALS OF ALLERGY AND CLINICAL IMMUNOLOGY B3
1879-7296,EUROPEAN ANNALS OF OTORHINOLARYNGOLOGY HEAD AND NECK DISEASBE1
0937-4477,EUROPEAN ARCHIVES OF OTO-RHINO-LARYNGOLOGY A3
1818-6300,EUROPEAN ARCHIVES OF PAEDIATRIC DENTISTRY (PRINT) A4
0940-1334,EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE A2
0175-7571,EUROPEAN BIOPHYSICS JOURNAL B1
0955-534X,EUROPEAN BUSINESS REVIEW A1
2063-5346,EUROPEAN CHEMICAL BULLETIN B1
1018-8827,EUROPEAN CHILD & ADOLESCENT PSYCHIATRY A1
0144-3054,EUROPEAN COMPETITION LAW REVIEW B4
1072-4133,EUROPEAN EATING DISORDERS REVIEW A1
0014-2921,EUROPEAN ECONOMIC REVIEW A1
1474-9041,EUROPEAN EDUCATIONAL RESEARCH JOURNAL A1
1438-2377,EUROPEAN FOOD RESEARCH AND TECHNOLOGY: INTERNATIONAL JOURNAAL4
1878-7649,EUROPEAN GERIATRIC MEDICINE B1
1522-9645,EUROPEAN HEART JOURNAL A1
2047-2404,EUROPEAN HEART JOURNAL CARDIOVASCULAR IMAGING A1
1520-765X,EUROPEAN HEART JOURNAL SUPPLEMENTS B2
2048-8734,EUROPEAN HEART JOURNAL: ACUTE CARDIOVASCULAR CARE (ONLINE) A1
2000-7426,EUROPEAN JOURNAL FOR RESEARCH ON THE EDUCATION AND LEARNING BO1
1803-3857,EUROPEAN JOURNAL OF ADAPTED PHYSICAL ACTIVITY B1
1613-9372,EUROPEAN JOURNAL OF AGEING (PRINT) A3
1161-0301,EUROPEAN JOURNAL OF AGRONOMY A1
0265-0215,EUROPEAN JOURNAL OF ANAESTHESIOLOGY (PRINT) A1
1136-4890,EUROPEAN JOURNAL OF ANATOMY B4
0956-7925,EUROPEAN JOURNAL OF APPLIED MATHEMATICS (PRINT) B1
1439-6327,EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY (INTERNET) A2
1341-1357,EXPERIMENTAL ANIMALS,A2
1535-3702,"EXPERIMENTAL BIOLOGY AND MEDICINE (MAYWOOD, N.J.: PRINT)",A4
0014-4819,EXPERIMENTAL BRAIN RESEARCH,B1
0014-4827,EXPERIMENTAL CELL RESEARCH,A2
0906-6705,EXPERIMENTAL DERMATOLOGY,A2
0014-4835,EXPERIMENTAL EYE RESEARCH,A1
0531-5565,EXPERIMENTAL GERONTOLOGY,A3
0301-472X,EXPERIMENTAL HEMATOLOGY,A3
2162-3619,EXPERIMENTAL HEMATOLOGY & ONCOLOGY,A3
0190-2148,EXPERIMENTAL LUNG RESEARCH,A4
1058-6458,EXPERIMENTAL MATHEMATICS,A3
0014-4851,EXPERIMENTAL MECHANICS,A2
0014-4886,EXPERIMENTAL NEUROLOGY,A1
1812-9269,EXPERIMENTAL ONCOLOGY,B2
0014-4894,EXPERIMENTAL PARASITOLOGY,A4
0958-0670,EXPERIMENTAL PHYSIOLOGY (PRINT),A4
0732-8818,"EXPERIMENTAL TECHNIQUES (WESTPORT, CONN.)",B1
0894-1777,EXPERIMENTAL THERMAL AND FLUID SCIENCE,A1
1432-1114,EXPERIMENTS IN FLUIDS,A1
0723-4864,EXPERIMENTS IN FLUIDS (PRINT),A1
1471-2598,EXPERT OPINION ON BIOLOGICAL THERAPY,A2
1742-5247,EXPERT OPINION ON DRUG DELIVERY (PRINT),A1
1746-0441,EXPERT OPINION ON DRUG DISCOVERY (PRINT),A1
1742-5255,EXPERT OPINION ON DRUG METABOLISM & TOXICOLOGY,A2
1474-0338,EXPERT OPINION ON DRUG SAFETY,A2
1354-3784,EXPERT OPINION ON INVESTIGATIONAL DRUGS,A2
2167-8707,EXPERT OPINION ON ORPHAN DRUGS,B1
1465-6566,EXPERT OPINION ON PHARMACOTHERAPY,A3
1354-3776,EXPERT OPINION ON THERAPEUTIC PATENTS,A3
1744-7674,EXPERT OPINION ON THERAPEUTIC PATENTS,A3
1472-8222,EXPERT OPINION ON THERAPEUTIC TARGETS,A1
1473-7140,EXPERT REVIEW OF ANTICANCER THERAPY,A4
1478-7210,EXPERT REVIEW OF ANTI-INFECTIVE THERAPY,A2
1744-8336,EXPERT REVIEW OF ANTI-INFECTIVE THERAPY (ONLINE),A2
1477-9072,EXPERT REVIEW OF CARDIOVASCULAR THERAPY,A4
1744-666X,EXPERT REVIEW OF CLINICAL IMMUNOLOGY,A3
1751-2433,EXPERT REVIEW OF CLINICAL PHARMACOLOGY,A3
1744-6651,EXPERT REVIEW OF ENDOCRINOLOGY & METABOLISM (PRINT),B3
1747-4124,EXPERT REVIEW OF GASTROENTEROLOGY & HEPATOLOGY (PRINT),A3
1747-4086,EXPERT REVIEW OF HEMATOLOGY,A4
1745-2422,EXPERT REVIEW OF MEDICAL DEVICES (ONLINE),A2
1743-4440,EXPERT REVIEW OF MEDICAL DEVICES (PRINT),A2
1473-7159,EXPERT REVIEW OF MOLECULAR DIAGNOSTICS,A2
1473-7175,EXPERT REVIEW OF NEUROTHERAPEUTICS,A2
1473-7167,EXPERT REVIEW OF PHARMACOECONOMICS & OUTCOMES RESEARCH,A3
1478-9450,EXPERT REVIEW OF PROTEOMICS (PRINT),A2
1747-6348,EXPERT REVIEW OF RESPIRATORY MEDICINE,A3
1476-0584,EXPERT REVIEW OF VACCINES,A2
1462-3994,EXPERT REVIEWS IN MOLECULAR MEDICINE,A1
1468-0394,EXPERT SYSTEMS (ONLINE),A3
1467-2979,FISH AND FISHERIES (ONLINE),A1
1467-2960,FISH AND FISHERIES (OXFORD. PRINT),A1
0920-1742,FISH PHYSIOLOGY AND BIOCHEMISTRY,A3
1573-5168,FISH PHYSIOLOGY AND BIOCHEMISTRY (DORDRECHT. ONLINE),A3
0363-2415,"FISHERIES (BETHESDA, MD.)",A2
1365-2400,FISHERIES MANAGEMENT AND ECOLOGY,A4
0969-997X,FISHERIES MANAGEMENT AND ECOLOGY (PRINT),A4
1054-6006,FISHERIES OCEANOGRAPHY (PRINT),A3
0165-7836,FISHERIES RESEARCH,A3
0090-0656,"FISHERY BULLETIN (WASHINGTON, D.C.)",A4
1518-9740,FISIOTERAPIA BRASIL,B4
2526-9747,FISIOTERAPIA BRASIL (ONLINE),B4
0103-5150,FISIOTERAPIA EM MOVIMENTO,B3
2318-3381,FISISENECTUS,B3
0367-326X,FITOTERAPIA (MILANO),A3
2452-2627,FLATCHEM,A1
0882-5734,FLAVOUR AND FRAGRANCE JOURNAL (PRINT),A3
2058-8585,FLEXIBLE AND PRINTED ELECTRONICS,A2
1936-6582,FLEXIBLE SERVICES AND MANUFACTURING JOURNAL,A1
0367-2530,FLORA (JENA),A3
0015-3826,FLORESTA (UFPR. IMPRESSO),B2
1415-0980,FLORESTA E AMBIENTE,B2
0098-4590,FLORIDA SCIENTIST,B4
0955-5986,FLOW MEASUREMENT AND INSTRUMENTATION,A3
1386-6184,"FLOW, TURBULENCE AND COMBUSTION",A2
1793-6780,FLUCTUATION AND NOISE LETTERS (ONLINE),B3
0169-5983,FLUID DYNAMICS RESEARCH,A4
0378-3812,FLUID PHASE EQUILIBRIA,A2
2045-8118,FLUIDS AND BARRIERS OF THE CNS,A3
0015-4725,FLUORIDE,A3
1661-5719,FLUSSER STUDIES,B3
1933-6934,FLY,A3
1451-2092,FME TRANSACTIONS,A4
1981-223X,FOCO (FACULDADE NOVO MILÊNIO),B2
2318-0463,FOCO: CADERNO DE DE ESTUDOS E PESQUISAS,B2
2395-258X,FOCUS JOURNAL OF INTERNATIONAL BUSINESS,B4
1018-5674,FOLIA AMAZONICA,B4
0015-5497,FOLIA BIOLOGICA (KRAKÓW),B2
1211-9520,FOLIA GEOBOTANICA (PRUHONICE),A3
2083-5965,FOLIA HORTICULTURAE,B3
1506-7629,FOLIA MALACOLOGICA,B3
0015-5632,FOLIA MICROBIOLOGICA (PRAGUE),B2
0015-5659,FOLIA MORPHOLOGICA,B2
0015-5683,FOLIA PARASITOLOGICA (PRAHA),B1
1021-7762,FOLIA PHONIATRICA ET LOGOPAEDICA,A2
0015-5713,FOLIA PRIMATOLOGICA,A4
2176-4182,FÓLIO - REVISTA DE LETRAS,A3
1981-3422,FÓLIO (CENTRO UNIVERSITÁRIO METODISTA),B2
0123-1022,FOLIOS,B4
2042-6496,FOOD & FUNCTION,A1
2150-4113,HEALTH AND HUMAN RIGHTS JOURNAL,A2
1353-8292,HEALTH AND PLACE,A1
1477-7525,HEALTH AND QUALITY OF LIFE OUTCOMES,A2
2190-7188,HEALTH AND TECHNOLOGY,B2
2326-4403,HEALTH BEHAVIOR AND POLICY REVIEW,B4
0739-9332,HEALTH CARE FOR WOMEN INTERNATIONAL,B1
1386-9620,HEALTH CARE MANAGEMENT SCIENCE,A4
1057-9230,HEALTH ECONOMICS (PRINT),A1
2191-1991,HEALTH ECONOMICS REVIEW (ONLINE),A3
1090-1981,HEALTH EDUCATION & BEHAVIOR,A2
0965-4283,HEALTH EDUCATION (LONDON),A4
1460-4582,HEALTH INFORMATICS JOURNAL,A4
0017-9078,HEALTH PHYSICS (1958),B1
0168-8510,HEALTH POLICY (AMSTERDAM. PRINT),A1
1460-2237,HEALTH POLICY AND PLANNING,A1
0268-1080,HEALTH POLICY AND PLANNING (PRINT),A1
0957-4824,HEALTH PROMOTION INTERNATIONAL (PRINT),A2
2164-2850,HEALTH PSYCHOLOGY AND BEHAVIORAL MEDICINE,A3
1478-4505,HEALTH RESEARCH POLICY AND SYSTEMS,A1
1446-1242,HEALTH SOCIOLOGY REVIEW,A4
1366-5278,HEALTH TECHNOLOGY ASSESSMENT (WINCHESTER),A1
0378-5955,HEARING RESEARCH,A2
2169-5725,"HEARING, BALANCE AND COMMUNICATION",B2
1468-201X,HEART,A2
0147-9563,HEART & LUNG,A2
1355-6037,HEART (LONDON. 1996),A2
0910-8327,HEART AND VESSELS,A3
1382-4147,HEART FAILURE REVIEWS,A1
1547-5271,HEART RHYTHM,A2
1443-9506,"HEART, LUNG AND CIRCULATION (PRINT)",A4
0947-7411,HEAT AND MASS TRANSFER,A2
0145-7632,HEAT TRANSFER ENGINEERING,A3
1064-2285,HEAT TRANSFER RESEARCH,A4
0956-2737,HEC FORUM (PRINT),A4
2051-5375,HEGEL BULLETIN,A1
1809-1261,HEGEMONIA (BRASÍLIA),B2
1518-2541,HÉLADE (RIO DE JANEIRO),B1
1438-387X,HELGOLAND MARINE RESEARCH (PRINT),A4
1018-1806,HELIA (NOVI SAD),B2
2281-4515,HÉLICE,B4
1083-4389,"HELICOBACTER (CAMBRIDGE, MASS.)",A1
2357-9366,HELIKON - REVISTA DE HISTÓRIA,B4
0160-0923,HELIOS (LUBBOCK),B4
2405-8440,HELIYON,A4
1109-9666,HELLENIC JOURNAL OF CARDIOLOGY,B1
1336-9083,HELMINTHOLOGIA,B2
0440-6605,HELMINTHOLOGIA (TLACENÉ VYDANIE),B2
1099-1069,HEMATOLOGICAL ONCOLOGY,A3
0278-0232,HEMATOLOGICAL ONCOLOGY (PRINT),A3
1520-4391,HEMATOLOGY (PRINT),A3
1638-1580,HISTOIRE EPISTEMOLOGIE LANGAGE,A1
1661-4577,HISTOIRE ET CIVILISATION DU LIVRE - REVUE INTERNATIONAL,B4
0213-3911,HISTOLOGY AND HISTOPATHOLOGY,A3
0309-0167,HISTOPATHOLOGY (OXFORD. PRINT),A2
2241-2816,HISTOREIN,A4
2176-4352,HISTÓRIA & PERSPECTIVAS,B1
0073-2435,HISTORIA (SANTIAGO. IMPRESA),A1
1980-4369,HISTÓRIA (SÃO PAULO),A1
1696-2060,HISTORIA ACTUAL ON-LINE,A2
1139-1472,HISTORIA AGRARIA - REVISTA DE AGRICULTURA E HISTORIA RURAL,A1
2237-2717,HISTORIA AMBIENTAL LATINOAMERICANA Y CARIBEÑA (HALAC),B1
2322-6889,HISTORIA CARIBE,A3
1900-6152,HISTÓRIA CRÍTICA,A1
0121-1617,HISTORIA CRÍTICA (BOGOTÁ),A1
1414-3518,HISTÓRIA DA EDUCAÇÃO (UFPEL),A1
2176-7475,HISTÓRIA DA ENFERMAGEM: REVISTA ELETRÔNICA (HERE),B4
1983-9928,HISTÓRIA DA HISTORIOGRAFIA,A1
0212-0267,HISTORIA DE LA EDUCACIÓN,B4
2238-6270,HISTÓRIA E CULTURA,A3
2318-8294,HISTÓRIA E CULTURAS,B2
1808-5318,HISTÓRIA E ECONOMIA,B4
2238-3018,HISTÓRIA E ENSINO,A3
1519-3314,HISTÓRIA ECONÔMICA & HISTÓRIA DE EMPRESAS,A4
1516-2095,HISTÓRIA EM REVISTA (UFPEL),B3
2036-4040,HISTORIA MAGISTRA,B2
1516-7658,HISTÓRIA ORAL (RIO DE JANEIRO),A2
1414-6312,HISTÓRIA REVISTA,A2
2359-2370,HISTÓRIA UNICAP,A4
1519-3861,HISTÓRIA UNISINOS,A2
2236-1782,HISTÓRIA UNISINOS,A2
1988-3056,HISTORIA Y COMUNICACIÓN SOCIAL,A4
0120-4661,HISTORIA Y ESPACIO,A2
1405-0927,HISTORÍA Y GRAFÍA,A3
2027-5137,HISTORIA Y MEMORIA,A1
2444-0043,HISTORIA Y MEMORIA DE LA EDUCACIÓN,A3
0121-8417,HISTORIA Y SOCIEDAD (MEDELLIN. 1994),A1
1678-4758,"HISTÓRIA, CIÊNCIAS, SAÚDE (ONLINE)",B1
2318-1729,"HISTÓRIA, HISTÓRIAS",B1
2317-8361,"HISTÓRIA, NATUREZA E ESPAÇO",B2
0100-6932,HISTÓRIA. QUESTÕES E DEBATES,A3
1517-2856,HISTÓRIA: DEBATES E TENDÊNCIAS (PASSO FUNDO),A2
2238-5541,HISTORIÆ,A4
1519-8502,HISTORIÆ,A4
2447-8261,HISTÓRIAS QUESTÕES E DEBATES,A3
0891-2963,HISTORICAL BIOLOGY (PRINT),A3
1569-206X,HISTORICAL MATERIALISM (ONLINE),A3
0144-5340,HISTORY AND PHILOSOPHY OF LOGIC,A4
0391-9714,HISTORY AND PHILOSOPHY OF THE LIFE SCIENCES,A1
2572-2220,HISTORY OF ANTHROPOLOGY NEWSLETTER (ONLINE),B4
1724-2169,HISTORY OF ECONOMIC IDEAS (ONLINE),A3
1573-5117,HYDROBIOLOGIA A2
1431-2174,HYDROGEOLOGY JOURNAL A2
0885-6087,HYDROLOGICAL PROCESSES (PRINT) A1
0262-6667,HYDROLOGICAL SCIENCES JOURNAL A2
2150-3435,HYDROLOGICAL SCIENCES JOURNAL A2
2306-5338,HYDROLOGY B4
1607-7938,HYDROLOGY AND EARTH SYSTEM SCIENCES A1
1998-9563,HYDROLOGY RESEARCH (PRINT) B1
0304-386X,HYDROMETALLURGY (AMSTERDAM) A1
1980-1726,HYGEIA : REVISTA BRASILEIRA DE GEOGRAFIA MÉDICA E DA SAÚDE (UBERLBÂ1
0304-3843,HYPERFINE INTERACTIONS B4
0194-911X,"HYPERTENSION (DALLAS, TEX. 1979) A1"
1064-1955,HYPERTENSION IN PREGNANCY (PRINT) A4
0916-9636,HYPERTENSION RESEARCH A2
1348-4214,HYPERTENSION RESEARCH (ONLINE) A2
1413-9138,HYPNOS (PUCSP) A3
2177-5346,HYPNOS: REVISTA DO CENTRO DE ESTUDOS DE ANTIGUIDADE A3
1825-5272,"HYSTRIX, THE ITALIAN JOURNAL OF MAMMALOGY A2"
1959-0318,I R B M NEWS B2
1646-3692,IADIS INTERNATIONAL JOURNAL ON COMPUTER SCIENCE AND INFORMATIBO2
2187-0594,IAFOR JOURNAL OF EDUCATION B3
1983-7836,"IARA: REVISTA DE MODA, CULTURA E ARTE B2"
2079-3871,IASPM JOURNAL (JOURNAL OF THE INTERNATIONAL ASSOCIATION FOR THAE2
0928-1541,IAWA JOURNAL A3
1133-9810,IBER (BARCELONA) B2
2386-5768,IBERIAN JOURNAL OF THE HISTORY OF ECONOMIC THOUGHT B2
2260-2534,IBERIC@L: REVUE D'ÉTUDES IBÉRIQUES ET IBÉRO-AMÉRICAINES A4
2341-0485,IBEROAMÉRICA SOCIAL: REVISTA-RED DE ESTUDIOS SOCIALES B2
2237-4523,IBEROAMERICAN JOURNAL OF APPLIED COMPUTING B3
2346-9161,IBEROAMERICAN JOURNAL OF PROJECT MANAGEMEN (ONLINE) B3
0388-1237,IBEROAMERICANA A3
1577-3388,IBEROAMERICANA (MADRID) A1
1785-7716,IBEROAMERICANA QUINQUEECCLESIENSIS 15 A4
1888-0967,IBERSID (ZARAGOZA) B3
2174-081X,IBERSID: REVISTA DE SISTEMAS DE INFORMACIÓN Y DOCUMENTACIÓN (ONB3L
0019-1019,IBIS (LONDON. 1859) A1
2451-8301,IBRO REPORTS B4
0019-1035,"ICARUS (NEW YORK, N.Y. 1962) A3"
1095-9289,ICES JOURNAL OF MARINE SCIENCE (ONLINE) A1
1042-0940,ICHNOS. AN INTERNATIONAL JOURNAL OF PLANT AND ANIMAL TRACES B1
0936-9902,ICHTHYOLOGICAL EXPLORATION OF FRESHWATERS A4
1341-8998,ICHTHYOLOGICAL RESEARCH B2
2306-4161,ICOFOM STUDY SERIES B2
2309-1290,ICOFOM STUDY SERIES B2
1516-6082,ÍCONE (RECIFE) B4
1982-7717,ÍCONE: REVISTA DE LETRAS (UEG. SÃO LUÍS DE MONTES BELOS) B1
2447-0902,ICÔNICA B4
1390-1249,ÍCONOS (QUITO) B1
1390-8065,ÍCONOS. REVISTA DE CIENCIAS SOCIALES DA FLACSO B1
2395-1664,ICTACT JOURNAL ON MANAGEMENT STUDIES B4
1084-2020,ILAR JOURNAL,A2
2175-8026,ILHA DO DESTERRO,A1
1517-395X,ILHA. REVISTA DE ANTROPOLOGIA (FLORIANÓPOLIS),A2
0019-2082,ILLINOIS JOURNAL OF MATHEMATICS,A4
1984-1191,ILUMINURAS (PORTO ALEGRE),B1
2281-8138,IM@GO,B2
2210-6340,IMA FUNGUS,A1
0272-4960,IMA JOURNAL OF APPLIED MATHEMATICS,B1
1471-678X,IMA JOURNAL OF MANAGEMENT MATHEMATICS (PRINT),A2
0265-0754,IMA JOURNAL OF MATHEMATICAL CONTROL AND INFORMATION,A3
0272-4979,IMA JOURNAL OF NUMERICAL ANALYSIS,A1
1580-3139,IMAGE ANALYSIS & STEREOLOGY,A1
0262-8856,IMAGE AND VISION COMPUTING,A2
2179-8427,IMAGENS DA EDUCAÇÃO,B1
2233-7822,IMAGING SCIENCE IN DENTISTRY,A3
0308-5694,IMAGO MUNDI (LYMPNE),A3
1565-1088,IMAJ,A4
1742-4933,IMMUNITY & AGEING,A2
1074-7613,"IMMUNITY (CAMBRIDGE, MASS.)",A1
2050-4527,"IMMUNITY, INFLAMMATION AND DISEASE",B3
0171-2985,IMMUNOBIOLOGY.,A2
0093-7711,IMMUNOGENETICS (NEW YORK),B1
0257-277X,IMMUNOLOGIC RESEARCH,A4
0882-0139,IMMUNOLOGICAL INVESTIGATIONS,B2
1365-2567,IMMUNOLOGY,A2
0019-2805,IMMUNOLOGY (OXFORD. PRINT),A2
0889-8561,IMMUNOLOGY AND ALLERGY CLINICS OF NORTH AMERICA,A3
0818-9641,IMMUNOLOGY AND CELL BIOLOGY (PRINT),A3
0165-2478,IMMUNOLOGY LETTERS,A4
0892-3973,IMMUNOPHARMACOLOGY AND IMMUNOTOXICOLOGY,A4
1750-743X,IMMUNOTHERAPY (PRINT),A4
1461-5517,IMPACT ASSESSMENT AND PROJECT APPRAISAL (PRINT),A2
1056-6163,IMPLANT DENTISTRY,A4
2236-9767,IMPULSO,B4
2542-3606,IN ANALYSIS,B4
2307-5260,IN CRESCENDO (ONLINE),B3
0263-841X,IN PRACTICE (LONDON. 1979),B4
1630-7305,IN SITU (PARIS),A3
1543-706X,IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY. ANIMAL (ONLINE),B1
1071-2690,IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY. ANIMAL (PRINT),B1
1054-5476,IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY. PLANT,A4
0258-851X,IN VIVO (ATHENS),B1
2116-0619,INCERTAINS REGARDS - CAHIERS DRAMATURGIQUES,B3
2178-2075,INCID: REVISTA DE DOCUMENTAÇÃO E CIÊNCIA DA INFORMAÇÃO,A3
2359-5566,INCLUDERE,B4
1808-8392,INCLUSÃO SOCIAL (IMPRESSO),B2
1808-8678,INCLUSÃO SOCIAL (ONLINE),B2
1647-3582,INDAGATIO DIDACTICA,B2
0019-3577,INDAGATIONES MATHEMATICAE (PRINT),B1
2236-269X,INDEPENDENT JOURNAL OF MANAGEMENT & PRODUCTION,B1
1132-1296,INDEX DE ENFERMERÍA,B2
2174-1859,INDEX.COMUNICACIÓN,A2
0301-1208,INDIAN JOURNAL OF BIOCHEMISTRY AND BIOPHYSICS (PRINT),B3
0376-4699,INDIAN JOURNAL OF CHEMISTRY. SECT. B (PRINT),B2
0972-5229,INDIAN JOURNAL OF CRITICAL CARE MEDICINE,B2
0970-9290,INDIAN JOURNAL OF DENTAL RESEARCH,B2
2231-2293,INDIAN JOURNAL OF DENTAL SCIENCES,B4
0019-5154,INDIAN JOURNAL OF DERMATOLOGY,B1
0378-6323,INDIAN JOURNAL OF DERMATOLOGY VENEREOLOGY AND LEPROLOGY,A3
